province;red;green;blue;x;x
70;112;192;64;Watchful Gaze IV;x
71;240;64;64;Barren Shores I;x
72;128;96;192;Barren Shores II;x
73;192;96;192;Barren Shores III;x
74;209;215;159;Barren Shores IV;x
75;16;160;0;Barren Shores V;x
76;0;96;192;Great Reef I;x
77;74;146;55;Great Reef II;x
78;0;160;0;Great Reef III;x
79;32;192;192;Great Reef IV;x
80;160;64;192;Great Reef V;x
81;128;160;0;Great Reef VI;x
82;160;192;192;Sanctuary of Darkness I;x
83;224;224;224;Sanctuary of Darkness II;x
84;16;128;128;Sanctuary of Darkness III;x
85;16;128;0;Kingdom End I;x
86;144;128;0;Kingdom End II;x
87;144;128;128;Kingdom End III;x
88;134;75;69;Kingdom End IV;x
89;208;0;0;Kingdom End V;x
90;80;128;0;Kingdom End VI;x
91;115;85;191;Kingdom End VII;x
92;64;32;128;Kingdom End VIII;x
93;208;0;128;Kingdom End IX;x
94;109;100;92;Kingdom End X;x
95;16;192;0;Rolk's Demise I;x
96;204;24;24;Rolk's Demise II;x
97;144;64;0;Rolk's Demise III;x
98;86;118;81;Rolk's Demise IV;x
99;208;128;128;Rolk's Demise V;x
100;16;64;128;Rolk's Demise VI;x
101;144;192;0;Atreus' Clouds I;x
102;208;128;0;Atreus' Clouds II;x
103;80;64;128;Atreus' Clouds III;x
104;192;48;128;Atreus' Clouds IV;x
105;64;176;128;Atreus' Clouds V;x
106;208;64;0;Atreus' Clouds VI;x
107;80;192;0;Menelaus' Oasis I;x
108;208;192;0;Menelaus' Oasis II;x
109;144;64;64;Menelaus' Oasis III;x
110;16;192;128;Menelaus' Oasis IV;x
111;134;115;72;Menelaus' Oasis V;x
112;144;192;128;Menelaus' Oasis VI;x
113;80;128;128;Adventure's Promise I;x
114;192;32;128;Adventure's Promise II;x
115;0;96;128;Adventure's Promise III;x
116;144;64;128;Ocean of Fantasy I;x
117;208;0;192;Ocean of Fantasy II;x
118;0;32;192;Ocean of Fantasy III;x
119;80;128;192;Ocean of Fantasy IV;x
120;132;75;214;Getsu Fune I;x
121;208;128;192;Getsu Fune II;x
122;94;120;119;Getsu Fune III;x
123;16;192;64;Getsu Fune IV;x
124;208;128;64;Getsu Fune V;x
125;144;192;64;Getsu Fune VI;x
126;144;64;192;Savage Spur I;x
127;16;64;192;Savage Spur II;x
128;16;192;192;Savage Spur III;x
129;144;192;192;Savage Spur IV;x
130;122;112;123;Outer Sol I;x
131;192;48;64;Outer Sol II;x
132;128;48;64;Outer Sol III;x
133;0;176;64;Outer Sol IV;x
134;128;176;192;Outer Sol V;x
135;0;176;192;Outer Sol VI;x
136;208;128;112;Outer Sol VII;x
137;128;176;64;Outer Sol VIII;x
138;0;48;192;Outer Sol IX;x
139;76;108;123;Outer Sol X;x
140;79;163;196;Outer Sol XI;x
141;192;240;128;Inner Sol I;x
142;192;112;128;Inner Sol II;x
143;192;240;0;Inner Sol III;x
144;64;112;128;Inner Sol IV;x
145;64;240;0;Inner Sol V;x
146;208;0;64;Inner Sol VI;x
147;208;64;128;Inner Sol VII;x
148;80;192;128;Inner Sol VIII;x
149;80;128;64;Inner Sol IX;x
150;132;72;126;Inner Sol X;x
151;144;128;192;Inner Sol XI;x
152;16;128;192;Inner Sol XII;x
153;144;0;192;Brennan's Triumph I;x
154;74;95;122;Brennan's Triumph II;x
155;90;74;121;Brennan's Triumph III;x
156;16;0;192;Brennan's Triumph IV;x
157;0;160;192;Brennan's Triumph V;x
158;208;192;128;Brennan's Triumph VI;x
159;208;192;64;Circle of Deceit I;x
160;208;64;64;Circle of Deceit II;x
161;128;160;192;Circle of Deceit III;x
162;144;0;64;Circle of Deceit IV;x
163;16;128;64;Sanctum Verge I;x
164;80;192;64;Sanctum Verge II;x
165;128;96;0;Sanctum Verge III;x
166;64;160;128;Sanctum Verge IV;x
167;144;128;64;Sanctum Verge V;x
168;0;160;128;Tempting Fumes I;x
169;240;64;128;Tempting Fumes II;x
170;112;128;64;Tempting Fumes III;x
171;153;119;165;Tempting Fumes IV;x
172;192;32;0;Tempting Fumes V;x
173;112;192;0;Tempting Fumes VI;x
174;148;215;186;Cardinal's Domain I;x
175;64;224;128;Cardinal's Domain II;x
176;240;192;0;Cardinal's Domain III;x
177;112;0;64;Cardinal's Domain IV;x
178;0;0;144;Cardinal's Domain V;x
179;112;64;0;Cardinal's Domain VI;x
180;208;192;192;Sacred Relic I;x
181;240;64;0;Sacred Relic II;x
182;176;192;128;Sacred Relic III;x
183;108;210;165;Sacred Relic IV;x
184;240;0;64;Sacred Relic V;x
185;176;64;128;Freedom's Reach I;x
186;43;191;151;Freedom's Reach II;x
187;192;112;0;Freedom's Reach III;x
188;94;107;77;Freedom's Reach IV;x
189;128;112;128;Lasting Vengeance I;x
190;0;240;192;Lasting Vengeance II;x
191;163;206;188;Lasting Vengeance III;x
192;0;240;128;Lasting Vengeance IV;x
193;128;240;128;Lasting Vengeance V;x
194;64;112;0;Cardinal's Redress I;x
195;32;176;0;Cardinal's Redress II;x
196;0;240;0;Cardinal's Redress III;x
197;128;112;0;Cardinal's Redress IV;x
198;160;48;0;Cardinal's Redress V;x
199;192;240;64;Cardinal's Redress VI;x
200;64;112;192;Cardinal's Redress VII;x
201;64;112;64;Cardinal's Redress VIII;x
202;192;112;64;Gaian Prophecy I;x
203;64;240;64;Gaian Prophecy II;x
204;226;240;64;Gaian Prophecy III;x
205;0;112;192;Gaian Prophecy IV;x
206;0;112;64;Gaian Prophecy V;x
207;165;153;119;Gaian Prophecy VI;x
208;128;112;192;Gaian Prophecy VII;x
209;0;240;64;Segaris I;x
210;192;176;192;Segaris II;x
211;240;0;128;Segaris III;x
212;48;64;128;Segaris IV;x
213;64;176;192;Segaris V;x
214;176;192;0;Segaris VI;x
215;192;112;192;Segaris VII;x
216;176;64;0;Segaris VIII;x
217;48;192;0;Segaris IX;x
218;240;128;0;Ore Belt I;x
219;112;0;128;Ore Belt II;x
220;112;128;128;Ore Belt III;x
221;112;128;0;Ore Belt IV;x
222;176;0;0;Ore Belt V;x
223;48;128;128;Ore Belt VI;x
224;240;128;128;Third Redemption I;x
225;192;192;128;Third Redemption II;x
226;108;73;77;Third Redemption III;x
227;96;109;79;Third Redemption IV;x
228;161;75;78;Third Redemption V;x
229;74;74;176;Third Redemption VI;x
230;240;0;0;Third Redemption VII;x
231;176;128;128;Frontier Edge I;x
232;55;126;85;Frontier Edge II;x
233;176;128;0;Frontier Edge III;x
234;48;0;128;Frontier Edge IV;x
235;112;192;128;Frontier Edge V;x
236;48;128;0;Frontier Edge VI;x
237;176;0;128;Atiya's Misfortune I;x
238;237;199;218;Atiya's Misfortune II;x
239;66;212;150;Atiya's Misfortune III;x
240;48;64;192;Atiya's Misfortune IV;x
241;147;154;206;Atiya's Misfortune V;x
242;165;142;210;Atiya's Misfortune VI;x
243;210;142;210;Atiya's Misfortune VII;x
244;176;64;192;Mists of Artemis I;x
245;176;192;64;Mists of Artemis II;x
246;48;192;64;Mists of Artemis III;x
247;176;64;64;Mists of Artemis IV;x
248;110;117;123;Mists of Artemis V;x
249;240;128;192;Faulty Logic I;x
250;192;128;64;Faulty Logic II;x
251;128;64;64;Faulty Logic III;x
252;139;119;144;Faulty Logic IV;x
253;104;142;121;Holy Vision I;x
254;160;96;64;Holy Vision II;x
255;32;224;64;Holy Vision III;x
256;160;192;224;Holy Vision IV;x
257;32;224;192;Holy Vision V;x
258;160;96;192;Holy Vision VI;x
259;224;96;64;Holy Vision VII;x
260;160;224;192;Holy Vision VIII;x
261;150;146;121;Holy Vision IX;x
262;160;224;64;Holy Vision X;x
263;32;96;192;Holy Vision XI;x
264;96;224;64;Holy Vision XII;x
265;160;224;0;Pontifex's Claim I;x
266;32;224;0;Pontifex's Claim II;x
267;32;96;128;Pontifex's Claim III;x
268;160;224;128;Pontifex's Claim IV;x
269;160;96;128;Pontifex's Claim V;x
270;32;224;128;Pontifex's Claim VI;x
271;54;56;131;Pious Mists I;x
272;32;32;192;Pious Mists II;x
273;160;160;64;Pious Mists III;x
274;32;160;64;Pious Mists IV;x
275;160;32;64;Pious Mists V;x
276;96;224;0;Pious Mists VI;x
277;224;224;0;Pious Mists VII;x
278;224;96;0;Moo Kye's Revenge I;x
279;96;96;0;Moo Kye's Revenge II;x
280;224;96;128;Moo Kye's Revenge III;x
281;96;96;128;Moo Kye's Revenge IV;x
282;134;176;33;Moo Kye's Revenge V;x
283;32;160;192;Moo Kye's Revenge VI;x
284;101;97;124;Moo Kye's Revenge VII;x
285;160;33;176;Moo Kye's Revenge VIII;x
286;96;32;192;Moo Kye's Revenge IX;x
287;224;224;128;Mi Ton's Refuge I;x
288;160;160;192;Mi Ton's Refuge II;x
289;96;224;128;Mi Ton's Refuge III;x
290;140;102;123;Mi Ton's Refuge IV;x
291;224;32;64;Mi Ton's Refuge V;x
292;96;160;64;Mi Ton's Refuge VI;x
293;96;224;192;Loomanckstrat's Legacy I;x
294;224;160;64;Loomanckstrat's Legacy II;x
295;224;32;192;Loomanckstrat's Legacy III;x
296;96;96;192;Loomanckstrat's Legacy IV;x
297;224;224;64;Loomanckstrat's Legacy V;x
298;96;160;192;Loomanckstrat's Legacy VI;x
299;224;224;192;Loomanckstrat's Legacy VII;x
300;98;89;147;Loomanckstrat's Legacy VIII;x
301;128;0;32;Loomanckstrat's Legacy IX;x
302;224;96;192;CEO's Doubt I;x
303;19;114;99;CEO's Doubt II;x
304;192;64;192;CEO's Doubt III;x
305;192;192;192;CEO's Doubt IV;x
306;97;128;128;CEO's Doubt V;x
307;64;64;192;CEO's Doubt VI;x
308;224;128;32;CEO's Doubt VII;x
309;251;103;124;CEO's Doubt VIII;x
310;96;1;32;CEO's Doubt IX;x
311;96;128;32;Unholy Retribution I;x
312;192;65;224;Unholy Retribution II;x
313;32;128;160;Unholy Retribution III;x
314;96;0;160;Unholy Retribution IV;x
315;149;161;84;Unholy Retribution V;x
316;97;192;97;Unholy Retribution VI;x
317;224;128;1;Unholy Retribution VII;x
318;65;192;192;Unholy Retribution VIII;x
319;97;1;128;Nopileos' Fortune I;x
320;223;0;128;Nopileos' Fortune II;x
321;96;64;96;Nopileos' Fortune III;x
322;160;1;160;Nopileos' Fortune IV;x
323;196;128;165;Nopileos' Fortune V;x
324;192;192;224;Nopileos' Fortune VI;x
325;1;1;160;Nopileos' Fortune VII;x
326;248;228;0;True Sight I;x
327;160;128;33;True Sight II;x
328;65;192;224;True Sight III;x
329;160;1;32;True Sight IV;x
330;33;192;224;True Sight V;x
331;64;64;223;Scarlet Star I;x
332;65;192;97;Scarlet Star II;x
333;192;65;97;Scarlet Star III;x
334;192;192;97;Scarlet Star IV;x
335;101;124;82;Scarlet Star V;x
336;160;192;0;Scarlet Star VI;x
337;224;128;128;Void of Opportunity I;x
338;32;128;1;Void of Opportunity II;x
339;74;100;99;Void of Opportunity III;x
340;64;192;64;Void of Opportunity IV;x
341;160;65;128;Void of Opportunity V;x
342;224;192;224;Void of Opportunity VI;x
343;97;192;224;Void of Opportunity VII;x
344;224;65;224;Path to Profit I;x
345;33;65;128;Path to Profit II;x
346;121;211;121;Path to Profit III;x
347;224;65;97;Path to Profit IV;x
348;128;160;33;Path to Profit V;x
349;1;160;33;Antigone Memorial I;x
350;1;33;160;Antigone Memorial II;x
351;191;96;96;Antigone Memorial III;x
352;96;64;224;Antigone Memorial IV;x
353;0;160;160;Antigone Memorial V;x
354;128;33;160;Antigone Memorial VI;x
355;191;32;96;Antigone Memorial VII;x
356;1;224;33;The Void I;x
357;128;97;33;The Void II;x
358;74;142;93;The Void III;x
359;65;224;97;The Void IV;x
360;1;97;160;The Void V;x
361;0;224;160;The Void VI;x
362;168;255;81;The Void VII;x
363;192;160;160;Second Contact I;x
364;128;96;160;Second Contact II;x
365;128;65;224;Second Contact III;x
366;0;191;223;Second Contact IV;x
367;148;70;143;Second Contact V;x
368;128;65;96;Second Contact VI;x
369;0;192;96;Second Contact VII;x
370;128;192;97;Second Contact VIII;x
371;128;192;224;Second Contact IX;x
372;116;112;139;Second Contact X;x
373;144;0;224;Second Contact XI;x
374;119;119;50;Second Contact XII;x
375;128;192;160;Black Hole Sun I;x
376;192;64;33;Black Hole Sun II;x
377;1;192;160;Black Hole Sun III;x
378;192;192;160;Black Hole Sun IV;x
379;76;72;148;Black Hole Sun V;x
380;0;0;223;Black Hole Sun VI;x
381;65;192;160;Black Hole Sun VII;x
382;192;192;33;Black Hole Sun VIII;x
383;192;65;160;Black Hole Sun IX;x
384;65;192;33;Grand Exchange I;x
385;65;65;160;Grand Exchange II;x
386;1;128;97;Grand Exchange III;x
387;1;65;160;Grand Exchange IV;x
388;128;65;160;Grand Exchange V;x
389;128;0;96;Grand Exchange VI;x
390;128;128;97;Grand Exchange VII;x
391;145;101;116;Grand Exchange VIII;x
392;128;128;160;Grand Exchange IX;x
393;176;160;192;Grand Exchange X;x
394;239;32;64;Windfall I;x
395;72;111;106;Windfall II;x
396;81;128;160;Windfall III;x
397;208;1;160;Windfall IV;x
398;160;160;128;Windfall V;x
399;224;160;192;Avarice I;x
400;16;96;0;Avarice II;x
401;16;160;192;Avarice III;x
402;112;64;160;Avarice IV;x
403;112;192;32;Avarice V;x
404;239;191;32;Avarice VI;x
405;239;0;223;Avarice VII;x
406;112;0;96;Avarice VIII;x
407;239;64;160;Avarice IX;x
408;110;72;145;Nopileos' Memorial I;x
409;176;0;224;Nopileos' Memorial II;x
410;176;128;224;Nopileos' Memorial III;x
411;240;192;160;Nopileos' Memorial IV;x
412;112;191;160;Nopileos' Memorial V;x
413;48;128;224;Hatikvah's Faith I;x
414;144;32;192;Hatikvah's Faith II;x
415;176;96;128;Hatikvah's Faith III;x
416;16;32;192;Hatikvah's Faith IV;x
417;144;160;64;Hatikvah's Faith V;x
418;183;142;84;Hatikvah's Faith VI;x
419;208;224;128;Hatikvah's Faith VII;x
420;85;96;126;The Reach I;x
421;144;32;64;The Reach II;x
422;112;96;0;The Reach III;x
423;16;160;64;The Reach IV;x
424;144;96;0;The Reach V;x
425;144;160;192;The Reach VI;x
426;112;128;223;The Reach VII;x
427;240;128;96;Argon Prime I;x
428;112;0;224;Argon Prime II;x
429;240;128;224;Argon Prime III;x
430;109;120;150;Argon Prime IV;x
431;240;0;96;Argon Prime V;x
432;112;128;96;Argon Prime VI;x
433;80;160;64;Argon Prime VII;x
434;48;224;128;Argon Prime VIII;x
435;176;224;128;Argon Prime IX;x
436;63;116;175;Morning Star I;x
437;16;223;0;Morning Star II;x
438;144;224;0;Morning Star III;x
439;136;98;119;Morning Star IV;x
440;208;32;64;Morning Star V;x
441;208;160;64;Morning Star VI;x
442;208;32;192;Morning Star VII;x
443;80;32;192;Morning Star VIII;x
444;48;96;0;Morning Star IX;x
445;80;160;192;Hatikvah's Choice I;x
446;176;96;0;Hatikvah's Choice II;x
447;112;192;96;Hatikvah's Choice III;x
448;240;192;96;Hatikvah's Choice IV;x
449;48;224;0;Hatikvah's Choice V;x
450;176;64;96;Hatikvah's Choice VI;x
451;239;64;96;Hatikvah's Choice VII;x
452;112;64;96;Hatikvah's Choice VIII;x
453;48;192;96;Tharka's Cascade I;x
454;48;96;128;Tharka's Cascade II;x
455;176;224;0;Tharka's Cascade III;x
456;16;96;64;Tharka's Cascade IV;x
457;240;160;128;Tharka's Cascade V;x
458;112;160;128;Tharka's Cascade VI;x
459;240;32;128;Tharka's Cascade VII;x
460;144;96;128;Tharka's Cascade VIII;x
461;16;96;128;Scale Plate Green I;x
462;207;159;191;Scale Plate Green II;x
463;16;96;192;Scale Plate Green III;x
464;107;75;164;Scale Plate Green IV;x
465;208;0;224;Scale Plate Green V;x
466;49;192;223;Scale Plate Green VI;x
467;176;192;224;Scale Plate Green VII;x
468;176;64;224;Turqoise Sea I;x
469;48;64;224;Turqoise Sea II;x
470;176;192;96;Turqoise Sea III;x
471;80;128;224;Turqoise Sea IV;x
472;239;64;32;Turqoise Sea V;x
473;208;224;64;Company Regard I;x
474;80;96;192;Company Regard II;x
475;80;224;64;Company Regard III;x
476;208;96;192;Company Regard IV;x
477;240;160;0;Company Regard V;x
478;112;160;0;Company Regard VI;x
479;80;224;192;Company Regard VII;x
480;240;32;0;Company Regard VIII;x
481;176;32;0;Hewa's Twin I;x
482;112;32;0;Hewa's Twin II;x
483;0;144;32;Hewa's Twin III;x
484;80;96;0;Hewa's Twin IV;x
485;48;160;0;Hewa's Twin V;x
486;48;32;128;Hewa's Twin VI;x
487;176;160;128;Hewa's Twin VII;x
488;176;160;0;Trinity Sanctum I;x
489;176;32;128;Trinity Sanctum II;x
490;128;16;160;Trinity Sanctum III;x
491;112;32;128;Trinity Sanctum IV;x
492;16;224;192;Trinity Sanctum V;x
493;158;201;184;Trinity Sanctum VI;x
494;80;96;64;Trinity Sanctum VII;x
495;144;96;192;Trinity Sanctum VIII;x
496;48;160;128;Memory of Profit I;x
497;224;192;32;Memory of Profit II;x
498;17;224;65;Memory of Profit III;x
499;144;96;64;Memory of Profit IV;x
500;177;233;121;Memory of Profit V;x
501;96;240;128;Memory of Profit VI;x
502;143;223;128;Memory of Profit VII;x
503;208;96;64;Memory of Profit VIII;x
504;223;239;128;Mitsunos Remembrance I;x
505;113;21;139;Mitsunos Remembrance II;x
506;98;104;120;Mitsunos Remembrance III;x
507;160;48;64;Mitsunos Remembrance IV;x
508;128;16;32;Mitsunos Remembrance V;x
509;128;144;32;Eighteen Billion I;x
510;208;96;0;Eighteen Billion II;x
511;78;84;100;Eighteen Billion III;x
512;160;176;64;Eighteen Billion IV;x
513;32;48;192;Eighteen Billion V;x
514;32;176;64;Eighteen Billion VI;x
515;0;16;160;Eighteen Billion VII;x
516;188;110;211;Eighteen Billion VIII;x
517;208;160;0;President's End I;x
518;208;224;192;President's End II;x
519;48;32;163;President's End III;x
520;208;160;128;President's End IV;x
521;80;160;0;President's End V;x
522;208;32;0;President's End VI;x
523;84;81;100;Silent Witness I;x
524;235;169;53;Silent Witness II;x
525;160;112;128;Silent Witness III;x
526;32;112;128;Silent Witness IV;x
527;88;114;151;Silent Witness V;x
528;224;0;160;Silent Witness VI;x
529;96;128;159;Silent Witness VII;x
530;65;128;97;Silent Witness VIII;x
531;192;128;224;Profit Center Alpha I;x
532;104;190;102;Profit Center Alpha II;x
533;105;75;145;Profit Center Alpha III;x
534;191;0;223;Profit Center Alpha IV;x
535;33;128;224;Matrix 101 I;x
536;160;1;224;Matrix 101 II;x
537;77;98;160;Matrix 101 III;x
538;192;128;97;Matrix 101 IV;x
539;192;1;97;Matrix 101 V;x
540;65;1;224;Two Grand I;x
541;128;128;224;Two Grand II;x
542;120;75;142;Two Grand III;x
543;224;128;160;Two Grand IV;x
544;224;65;160;Two Grand V;x
545;25;174;25;Two Grand VI;x
546;160;65;33;Two Grand VII;x
547;86;116;82;Open Market I;x
548;131;177;168;Open Market II;x
549;160;64;160;Open Market III;x
550;97;192;160;Open Market IV;x
551;223;64;32;Open Market V;x
552;160;128;224;Eleventh Hour I;x
553;97;128;97;Eleventh Hour II;x
554;138;68;140;Eleventh Hour III;x
555;207;93;142;Eleventh Hour IV;x
556;224;192;160;Guiding Star I;x
557;121;83;104;Guiding Star II;x
558;175;223;191;Guiding Star III;x
559;49;224;192;Guiding Star IV;x
560;81;192;33;Guiding Star V;x
562;208;192;33;Gotha;x
563;81;65;160;Meiningen;x
564;17;192;160;Frankfurt;x
565;144;192;160;Wiesbaden;x
566;192;128;32;Kassel;x
567;139;124;103;Giessen;x
568;208;65;33;Fulda;x
569;49;128;97;Mannheim;x
570;144;192;32;Mainz;x
571;17;192;33;Kaiserlautern;x
572;208;128;160;Trier;x
573;144;64;32;Saarbrucken;x
574;93;122;104;Kreuznach;x
575;81;128;33;Cologne;x
576;131;75;102;Aachen;x
577;128;1;224;Kleves;x
578;33;1;224;Dusseldorf;x
579;81;1;160;Koblenz;x
580;160;128;97;Dortmund;x
581;1;128;224;Munster;x
582;33;128;97;Minden;x
583;65;128;33;Siegen;x
584;65;1;160;Korbach;x
585;159;0;96;Detmold;x
586;176;1;96;Karlsruhe;x
587;176;128;97;Freiburg;x
588;174;186;42;Konstanz;x
589;17;128;96;Stuttgart;x
590;16;0;96;Heilbronn;x
591;143;0;96;Tubingen;x
592;112;74;95;Augsburg;x
593;219;184;76;Ulm;x
594;144;128;96;Sigmaringen;x
595;208;192;160;Nuremburg;x
596;144;64;160;Aschaffenburg;x
597;81;192;160;Wurzburg;x
598;208;65;160;Bayreuth;x
599;176;1;33;Munich;x
600;176;128;33;Landshut;x
601;49;128;33;Ingolstadt;x
602;49;1;160;Regensburg;x
603;126;75;134;Zurich;x
604;144;128;224;Basel;x
605;80;128;96;Bern;x
606;208;1;97;Lucern;x
607;208;128;96;Geneva;x
608;17;127;224;Neuchatel;x
609;144;65;224;Sitten;x
610;166;238;251;Ponape;x
611;144;192;224;Chur;x
612;81;192;224;Innsbruck;x
613;240;97;192;Salzburg;x
614;208;192;224;Bregenz;x
615;240;224;192;Lienz;x
616;176;97;65;Graz;x
617;17;1;160;Judenburg;x
618;143;128;32;Klagenfurt;x
619;49;97;65;Vienna;x
620;17;128;160;Sankt Polten;x
621;169;121;59;Krems;x
622;144;1;160;Linz;x
623;240;224;1;Sopron;x
624;48;160;32;Eisenstadt;x
625;113;224;65;Prague;x
626;144;128;160;Hradec Kralove;x
627;113;97;65;Karlsbad;x
628;29;107;148;Aussig;x
629;240;97;65;Plzen;x
630;240;224;65;Budejovice;x
631;239;96;128;Brno;x
632;113;224;128;Olomouc;x
633;81;97;97;Bratislava;x
634;144;224;224;Trencin;x
635;208;97;97;Nitra;x
636;81;48;106;Banska Bystrica;x
637;81;224;97;Kosice;x
638;32;192;0;Roznava;x
639;113;97;128;Zalaegerszeg;x
640;207;32;32;Pecs;x
641;81;224;224;Budapest;x
642;113;95;93;Gyor;x
643;207;223;223;Szekesfehevar;x
644;176;33;33;Kaposvar;x
645;132;97;101;Kecskemet;x
646;208;97;224;Miskolc;x
647;81;97;160;Oradea;x
648;16;159;159;Debrecen;x
649;144;160;160;Szeged;x
650;80;96;223;Bekescsaba;x
651;144;33;160;Szatmar;x
652;144;224;33;Temesvar;x
653;17;97;160;Resicabanya;x
654;208;224;160;Cluj;x
655;208;97;160;Gyulafehervar;x
656;208;224;33;Deva;x
657;81;224;160;Nagyszeben;x
658;96;144;192;Hawaii;x
659;48;96;96;Brasso;x
660;175;96;159;Udvarhely;x
661;176;97;97;Beszterce;x
662;49;160;160;Cernauti;x
663;0;167;244;Suceava;x
664;176;224;32;Bucharest;x
665;224;33;33;Tirgu Jiu;x
666;81;224;33;Craiova;x
667;224;163;33;Tirgoviste;x
668;49;224;33;Braila;x
669;33;100;224;Calarasi;x
670;176;160;224;Iasi;x
671;239;32;96;Botosani;x
672;48;224;160;Bacau;x
673;244;0;69;Galati;x
674;176;97;33;Constanta;x
675;217;224;33;Tulcea;x
676;113;33;97;Chisinau;x
677;138;202;155;Balti;x
678;176;224;160;Izmail;x
679;160;192;32;Kolberg;x
680;128;1;160;Koslin;x
681;96;191;32;Kustrin;x
682;110;97;127;Breslau;x
683;192;1;33;Liegnitz;x
684;175;159;32;Oppeln;x
685;94;144;145;Kattowitz;x
686;177;200;76;Line Islands;x
687;97;65;33;Gorlitz;x
688;240;224;128;Troppau;x
689;16;223;223;Tesin;x
690;128;160;160;Danzig;x
691;148;80;0;Tuchel;x
692;1;128;160;Deutsch Krone;x
693;122;96;97;Elbing;x
694;65;160;33;Torun;x
695;65;33;160;Konigsburg;x
696;191;159;32;Allenstein;x
697;192;32;160;Gumbinnen;x
698;64;160;160;Memel;x
699;33;65;160;Posen;x
700;192;33;33;Bromberg;x
701;65;224;160;Gniezno;x
702;17;160;33;Lvov;x
703;144;96;96;Krakow;x
704;17;97;224;Novy Sacz;x
705;144;224;96;Przemysl;x
706;65;97;160;Warsaw;x
707;128;159;96;Suwalki;x
708;128;33;97;Plock;x
709;0;159;96;Lomza;x
710;87;126;228;Skierniewicz;x
711;64;223;32;Siedlice;x
712;192;97;160;Lodz;x
713;96;0;223;Radom;x
714;17;224;97;Tarnow;x
715;81;160;224;Lublin;x
716;208;160;224;Kielce;x
717;192;224;160;Kalisz;x
718;1;97;224;Minsk;x
719;192;97;33;Bialystock;x
720;208;128;224;Turin;x
721;144;192;96;Aosta;x
722;17;64;224;Novara;x
723;17;192;97;Alessandria;x
724;144;64;97;Genoa;x
725;84;114;138;Savona;x
726;208;64;96;Milan;x
727;134;122;144;Bergamo;x
728;80;192;96;Brescia;x
729;176;1;160;Venice;x
730;48;128;160;Verona;x
731;176;128;160;Padua;x
732;81;65;224;Treviso;x
733;85;72;102;Udine;x
734;208;191;96;Trent;x
735;208;64;224;Bozen;x
736;144;0;33;Trieste;x
737;16;128;33;Gorizia;x
738;112;1;32;Parma;x
739;239;0;33;Modena;x
740;240;128;33;Massa;x
741;112;0;160;Bologna;x
742;112;128;32;Ferrara;x
743;240;0;160;Ravenna;x
744;112;128;160;Florence;x
745;106;118;98;Leghorn;x
